application_uuid,apply_dts,is_night_apply,is_workday_apply,is_worktime_apply,apply_amount,apply_month,register_diffdays,tg_location,login_origin,is_reapply,address_length,mobile_company,mobile_segment,net_age,age,gender,regaud_diffdays,cid_prov_lvl,addr_prov_lvl,mobile_prov_lvl,cid_city_lvl,addr_city_lvl,bank_prov_lvl,bank_city_lvl,mobile_city_lvl,job_type,rela1_lvl,rela2_lvl,rela3_lvl,cidcity_bankcity,addrcity_bankcity,mobile_cardmobile,addrcity_mobilecity,addrcity_compcity,mobilecity_compcity,tid,target
web1282095060541903,6969121.0,0,1,1,10000,12,-103.0,1,,,14,2,3,,33,1,-10483679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095067722888,6969121.0,0,1,1,10000,12,-104.0,1,,,14,3,3,,26,1,-10570079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095074965671,6969121.0,0,1,1,10000,12,-105.0,1,,,14,2,5,,22,1,-10656479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095082130537,6969121.0,0,1,1,10000,12,-106.0,1,,,14,2,5,,28,1,-10742879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095089369166,6969121.0,0,1,1,10000,12,-107.0,1,,,14,2,5,,27,1,-10829279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095096614015,6969121.0,0,1,1,10000,12,-108.0,1,,,14,2,3,,34,1,-10915679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,1,0,0,0,,1
web1282095103822317,6969121.0,0,1,1,10000,12,-109.0,1,,,14,2,3,,19,1,-11002079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095110947129,6969121.0,0,1,1,10000,12,-110.0,1,,,14,2,3,,30,1,-11088479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095118075569,6969121.0,0,1,1,10000,12,-111.0,1,,,14,2,1,,26,1,-11174879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095125229981,6969121.0,0,1,1,10000,12,-112.0,1,,,14,2,3,,30,1,-11261279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095132522453,6969121.0,0,1,1,10000,12,-113.0,1,,,14,3,3,,33,1,-11347679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095139646682,6969121.0,0,1,1,10000,12,-114.0,1,,,14,2,5,,28,1,-11434079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095146794771,6969121.0,0,1,1,10000,12,-115.0,1,,,14,2,5,,27,1,-11520479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095154051557,6969121.0,0,1,1,10000,12,-116.0,1,,,14,2,5,,21,1,-11606879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095161133286,6969121.0,0,1,1,10000,12,-117.0,1,,,14,2,3,,29,1,-11693279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,1,0,0,0,,1
web1282095168343341,6969121.0,0,1,1,10000,12,-118.0,1,,,14,2,3,,29,1,-11779679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095175518437,6882721.0,0,1,1,10001,13,-119.0,1,,,14,2,3,,25,1,-11866079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095182792419,6796321.0,0,1,1,10002,14,-120.0,1,,,14,2,1,,22,0,-11952479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095190096546,6709921.0,0,1,1,10003,15,-121.0,1,,,14,2,3,,29,1,-12038879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095197334921,6623521.0,0,1,1,10004,16,-122.0,1,,,14,3,3,,27,0,-12125279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095204546053,6537121.0,0,1,1,10005,17,-123.0,1,,,14,2,5,,30,1,-12211679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095211737082,6450721.0,0,1,1,10006,18,-124.0,1,,,14,2,5,,25,1,-12298079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095218991874,6364321.0,0,1,1,10007,19,-125.0,1,,,14,2,5,,25,1,-12384479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095226195357,6277921.0,0,1,1,10008,20,-126.0,1,,,14,2,3,,30,0,-12470879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095233389669,6191521.0,0,1,1,10009,21,-127.0,1,,,14,2,3,,25,0,-12557279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095240680368,6105121.0,0,1,1,10010,22,-128.0,1,,,14,2,3,,27,1,-12643679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095247943197,6018721.0,0,1,1,10011,23,-129.0,1,,,14,2,1,,32,1,-12730079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095255178353,5932321.0,0,1,1,10012,24,-130.0,1,,,14,2,3,,25,1,-12816479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095262346606,5845921.0,0,1,1,10013,25,-131.0,1,,,14,3,3,,26,1,-12902879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095269591544,5759521.0,0,1,1,10014,26,-132.0,1,,,14,2,5,,22,1,-12989279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095276856463,5673121.0,0,1,1,10015,27,-133.0,1,,,14,2,5,,39,1,-13075679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095284104903,5586721.0,0,1,1,10016,28,-134.0,1,,,14,2,5,,30,1,-13162079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095291358912,5500321.0,0,1,1,10017,29,-135.0,1,,,14,2,3,,21,1,-13248479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095298677084,5413921.0,0,1,1,10018,30,-136.0,1,,,14,2,3,,25,0,-13334879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095306355317,5327521.0,0,1,1,10019,31,-137.0,1,,,14,2,3,,28,1,-13421279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095313608933,5241121.0,0,1,1,10020,32,-138.0,1,,,14,2,1,,29,1,-13507679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095320823335,5154721.0,0,1,1,10021,33,-139.0,1,,,14,2,3,,40,1,-13594079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095327990490,5068321.0,0,1,1,10022,34,-140.0,1,,,14,3,3,,24,1,-13680479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095335203163,4981921.0,0,1,1,10023,35,-141.0,1,,,14,2,5,,29,1,-13766879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095342426662,4895521.0,0,1,1,10024,36,-142.0,1,,,14,2,5,,24,1,-13853279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095349668658,4809121.0,0,1,1,10025,37,-143.0,1,,,14,2,5,,18,1,-13939679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095356883183,4722721.0,0,1,1,10026,38,-144.0,1,,,14,2,3,,31,1,-14026079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095364101469,4636321.0,0,1,1,10027,39,-145.0,1,,,14,2,3,,28,1,-14112479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095371331148,4549921.0,0,1,1,10028,40,-146.0,1,,,14,2,3,,31,1,-14198879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095378560314,4463521.0,0,1,1,10029,41,-147.0,1,,,14,2,1,,31,1,-14285279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095385761766,4377121.0,0,1,1,10030,42,-148.0,1,,,14,2,3,,35,1,-14371679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095392940171,4290721.0,0,1,1,10031,43,-149.0,1,,,14,3,3,,29,0,-14458079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095400187808,4204321.0,0,1,1,10032,44,-150.0,1,,,14,2,5,,21,1,-14544479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095407409570,4117921.0,0,1,1,10033,45,-151.0,1,,,14,2,5,,27,1,-14630879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095414527256,4031521.0,0,1,1,10034,46,-152.0,1,,,14,2,5,,28,0,-14717279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095422689809,3945121.0,0,1,1,10035,47,-153.0,1,,,14,2,3,,25,1,-14803679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095429894938,3858721.0,0,1,1,10036,48,-154.0,1,,,14,2,3,,27,0,-14890079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095437133314,3772321.0,0,1,1,10037,49,-155.0,1,,,14,2,3,,25,1,-14976479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095444402166,3685921.0,0,1,1,10038,50,-156.0,1,,,14,2,1,,27,1,-15062879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095451577418,3599521.0,0,1,1,10039,51,-157.0,1,,,14,2,3,,22,1,-15149279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095457635953,3513121.0,0,1,1,10040,52,-158.0,1,,,14,3,3,,38,1,-15235679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095463207543,3426721.0,0,1,1,10041,53,-159.0,1,,,14,2,5,,21,1,-15322079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095468804754,3340321.0,0,1,1,10042,54,-160.0,1,,,14,2,5,,28,1,-15408479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095474326389,3253921.0,0,1,1,10043,55,-161.0,1,,,14,2,5,,30,1,-15494879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095479801938,3167521.0,0,1,1,10044,56,-162.0,1,,,14,2,3,,35,1,-15581279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095491266946,2994721.0,0,1,1,10046,58,-164.0,1,,,14,2,3,,27,1,-15754079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095496744932,2908321.0,0,1,1,10047,59,-165.0,1,,,14,2,1,,34,1,-15840479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095502281737,2821921.0,0,1,1,10048,60,-166.0,1,,,14,2,3,,22,1,-15926879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095507781006,2735521.0,0,1,1,10049,61,-167.0,1,,,14,3,3,,20,1,-16013279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095513284858,2649121.0,0,1,1,10050,62,-168.0,1,,,14,2,5,,28,1,-16099679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095518808394,2562721.0,0,1,1,10051,63,-169.0,1,,,14,2,5,,29,1,-16186079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095524266457,2476321.0,0,1,1,10052,64,-170.0,1,,,14,2,5,,25,1,-16272479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095529779498,2389921.0,0,1,1,10053,65,-171.0,1,,,14,2,3,,33,0,-16358879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095535249211,2303521.0,0,1,1,10054,66,-172.0,1,,,14,2,3,,25,1,-16445279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095540730164,2217121.0,0,1,1,10055,67,-173.0,1,,,14,2,3,,22,1,-16531679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095546275672,2130721.0,0,1,1,10056,68,-174.0,1,,,14,2,1,,32,0,-16618079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095551769498,2044321.0,0,1,1,10057,69,-175.0,1,,,14,2,3,,29,1,-16704479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095557254453,1957921.0,0,1,1,10058,70,-176.0,1,,,14,3,3,,25,1,-16790879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095562825607,1871521.0,0,1,1,10059,71,-177.0,1,,,14,2,5,,35,1,-16877279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095568310872,1785121.0,0,1,1,10060,72,-178.0,1,,,14,2,5,,24,0,-16963679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095573802813,1698721.0,0,1,1,10061,73,-179.0,1,,,14,2,5,,28,0,-17050079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095579321911,1612321.0,0,1,1,10062,74,-180.0,1,,,14,2,3,,31,1,-17136479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095584784734,1525921.0,0,1,1,10063,75,-181.0,1,,,14,2,3,,22,1,-17222879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095590288979,1439521.0,0,1,1,10064,76,-182.0,1,,,14,2,3,,20,1,-17309279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095595823471,1353121.0,0,1,1,10065,77,-183.0,1,,,14,2,1,,21,1,-17395679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095601317008,1266721.0,0,1,1,10066,78,-184.0,1,,,14,2,3,,30,1,-17482079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095606789637,1180321.0,0,1,1,10067,79,-185.0,1,,,14,3,3,,30,1,-17568479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095612319144,1093921.0,0,1,1,10068,80,-186.0,1,,,14,2,5,,18,1,-17654879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095617794063,1007521.0,0,1,1,10069,81,-187.0,1,,,14,2,5,,54,1,-17741279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095623263826,921121.0,0,1,1,10070,82,-188.0,1,,,14,2,5,,26,1,-17827679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095628780609,834721.0,0,1,1,10071,83,-189.0,1,,,14,2,5,,25,1,-17914079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095634313912,748321.0,0,1,1,10072,84,-190.0,1,,,14,2,5,,30,1,-18000479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095639782231,661921.0,0,1,1,10073,85,-191.0,1,,,14,2,5,,30,1,-18086879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095645326677,575521.0,0,1,1,10074,86,-192.0,1,,,14,2,5,,42,0,-18173279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095650811884,489121.0,0,1,1,10075,87,-193.0,1,,,14,2,5,,22,1,-18259679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095656342309,402721.0,0,1,1,10076,88,-194.0,1,,,14,2,5,,29,1,-18346079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095661871985,316321.0,0,1,1,10077,89,-195.0,1,,,14,2,5,,21,1,-18432479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095667389172,229921.0,0,1,1,10078,90,-196.0,1,,,14,2,5,,44,1,-18518879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095672917332,143521.0,0,1,1,10079,91,-197.0,1,,,14,2,5,,19,1,-18605279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095678433506,57121.0,0,1,1,10080,92,-198.0,1,,,14,2,5,,27,1,-18691679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095683908253,-29279.0,0,1,1,10081,93,-199.0,1,,,14,2,5,,26,1,-18778079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095689406310,-115679.0,0,1,1,10082,94,-200.0,1,,,14,2,5,,22,1,-18864479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095694954959,-202079.0,0,1,1,10083,95,-201.0,1,,,14,2,5,,22,1,-18950879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095700481414,-288479.0,0,1,1,10084,96,-202.0,1,,,14,2,5,,39,1,-19037279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095706023235,-374879.0,0,1,1,10085,97,-203.0,1,,,14,2,5,,24,1,-19123679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095711521865,-461279.0,0,1,1,10086,98,-204.0,1,,,14,2,5,,26,1,-19210079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095717019007,-547679.0,0,1,1,10087,99,-205.0,1,,,14,2,5,,32,1,-19296479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095722534284,-634079.0,0,1,1,10088,100,-206.0,1,,,14,2,5,,28,1,-19382879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095728123059,-720479.0,0,1,1,10089,101,-207.0,1,,,14,2,5,,19,1,-19469279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095733679930,-806879.0,0,1,1,10090,102,-208.0,1,,,14,2,5,,23,1,-19555679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095739147610,-893279.0,0,1,1,10091,103,-209.0,1,,,14,2,5,,36,1,-19642079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095744664386,-979679.0,0,1,1,10092,104,-210.0,1,,,14,2,5,,27,1,-19728479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095750177239,-1066079.0,0,1,1,10093,105,-211.0,1,,,14,2,5,,25,1,-19814879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095755697485,-1152479.0,0,1,1,10094,106,-212.0,1,,,14,2,5,,20,1,-19901279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095761213662,-1238879.0,0,1,1,10095,107,-213.0,1,,,14,2,5,,25,1,-19987679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095766694649,-1325279.0,0,1,1,10096,108,-214.0,1,,,14,2,5,,28,1,-20074079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095772134669,-1411679.0,0,1,1,10097,109,-215.0,1,,,14,2,5,,25,1,-20160479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095777602498,-1498079.0,0,1,1,10098,110,-216.0,1,,,14,2,5,,28,1,-20246879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095783157110,-1584479.0,0,1,1,10099,111,-217.0,1,,,14,2,5,,29,0,-20333279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095788725609,-1670879.0,0,1,1,10100,112,-218.0,1,,,14,2,5,,23,1,-20419679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095794220564,-1757279.0,0,1,1,10101,113,-219.0,1,,,14,2,5,,30,1,-20506079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095799725425,-1843679.0,0,1,1,10102,114,-220.0,1,,,14,2,5,,24,0,-20592479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095805213742,-1930079.0,0,1,1,10103,115,-221.0,1,,,14,2,5,,42,1,-20678879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095810772339,-2016479.0,0,1,1,10104,116,-222.0,1,,,14,2,5,,28,1,-20765279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095816306006,-2102879.0,0,1,1,10105,117,-223.0,1,,,14,2,5,,29,1,-20851679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095821820545,-2189279.0,0,1,1,10106,118,-224.0,1,,,14,2,5,,23,0,-20938079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095827305652,-2275679.0,0,1,1,10107,119,-225.0,1,,,14,2,5,,36,1,-21024479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095832823306,-2362079.0,0,1,1,10108,120,-226.0,1,,,14,2,5,,34,1,-21110879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095838349289,-2448479.0,0,1,1,10109,121,-227.0,1,,,14,2,5,,28,1,-21197279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095843881543,-2534879.0,0,1,1,10110,122,-228.0,1,,,14,2,5,,35,1,-21283679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095849381297,-2621279.0,0,1,1,10111,123,-229.0,1,,,14,2,5,,23,1,-21370079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095854855536,-2707679.0,0,1,1,10112,124,-230.0,1,,,14,2,5,,31,0,-21456479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095860340596,-2794079.0,0,1,1,10113,125,-231.0,1,,,14,2,5,,32,1,-21542879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095865836553,-2880479.0,0,1,1,10114,126,-232.0,1,,,14,2,5,,23,1,-21629279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095871343630,-2966879.0,0,1,1,10115,127,-233.0,1,,,14,2,5,,30,1,-21715679.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095876806336,-3053279.0,0,1,1,10116,128,-234.0,1,,,14,2,5,,31,1,-21802079.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095882324924,-3139679.0,0,1,1,10117,129,-235.0,1,,,14,2,5,,20,1,-21888479.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095887838585,-3226079.0,0,1,1,10118,130,-236.0,1,,,14,2,5,,29,1,-21974879.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
web1282095893360295,-3312479.0,0,1,1,10119,131,-237.0,1,,,14,2,5,,33,0,-22061279.0,6,2,6,6,6,6,5,6,1,2,4,1,0,0,0,0,0,0,,1
